OrderID,Date,Customer,Region,Product,Category,Quantity,UnitPrice,Discount,Total_Sales
44,1/23/2023 0:00,Customer_171,North,Laptop,Electronics,18.0,638.25,0.1,10339.65
45,12/28/2023 0:00,Customer_288,West,Phone,Electronics,3.0,1113.14,0.0,3339.42
47,7/6/2023 0:00,Customer_184,North,Notebook,Office Supplies,11.0,195.53,0.1,1935.747
48,7/28/2023 0:00,Customer_122,South,Tablet,Electronics,19.0,158.68,0.0,3014.92
49,7/30/2023 0:00,Customer_137,South,Tablet,Electronics,11.0,42.06,0.1,416.394
50,4/24/2023 0:00,Customer_236,South,Laptop,Electronics,10.0,1308.89,0.15,11125.565
51,7/24/2023 0:00,Customer_143,East,Cabinet,Furniture,5.0,338.27,0.05,1606.7824999999998
52,12/14/2023 0:00,Customer_15,East,Phone,Electronics,9.0,964.02,0.15,7374.753
53,1/20/2023 0:00,Customer_223,North,Phone,Electronics,3.0,872.98,0.1,2357.0460000000003
54,3/1/2023 0:00,Customer_296,West,Cabinet,Furniture,11.0,911.28,0.0,10024.08
56,6/10/2023 0:00,Customer_154,North,Desk,Furniture,19.0,1381.55,0.0,26249.45
57,12/23/2023 0:00,Customer_284,East,Printer Paper,Office Supplies,19.0,615.55,0.15,9941.1325
58,12/13/2023 0:00,Customer_292,South,Tablet,Electronics,11.0,999.07,0.15,9341.3045
59,5/27/2023 0:00,Customer_221,South,Table,Furniture,15.0,1251.42,0.1,16894.170000000002
60,9/19/2023 0:00,Customer_87,West,Printer Paper,Office Supplies,12.0,665.47,0.05,7586.358
61,6/21/2023 0:00,Customer_121,North,Pen,Office Supplies,7.0,775.6,0.0,5429.2
62,1/13/2023 0:00,Customer_126,North,Printer Paper,Office Supplies,5.0,1210.81,0.05,5751.347499999999
63,4/10/2023 0:00,Customer_254,West,Desk,Furniture,12.0,624.59,0.0,7495.08
64,2/24/2023 0:00,Customer_113,West,Chair,Furniture,2.0,985.81,0.0,1971.62
66,8/7/2023 0:00,Customer_82,West,Printer Paper,Office Supplies,12.0,920.92,0.0,11051.039999999999
67,11/23/2023 0:00,Customer_267,East,Stapler,Office Supplies,12.0,392.49,0.05,4474.3859999999995
68,5/1/2023 0:00,Customer_172,East,Chair,Furniture,6.0,662.61,0.1,3578.094
69,12/22/2023 0:00,Customer_110,South,Desk,Furniture,2.0,230.49,0.15,391.833
70,8/1/2023 0:00,Customer_106,North,Monitor,Electronics,11.0,499.67,0.15,4671.9145
71,10/22/2023 0:00,Customer_245,West,Table,Furniture,16.0,1419.36,0.0,22709.76
72,10/3/2023 0:00,Customer_250,South,Phone,Electronics,7.0,1131.45,0.15,6732.1275000000005
73,6/22/2023 0:00,Customer_85,West,Phone,Electronics,11.0,731.03,0.15,6835.1305
74,10/31/2023 0:00,Customer_43,North,Chair,Furniture,17.0,803.51,0.15,11610.7195
75,1/26/2023 0:00,Customer_195,East,Stapler,Office Supplies,2.0,1300.94,0.05,2471.786
76,5/23/2023 0:00,Customer_130,West,Chair,Furniture,12.0,493.63,0.15,5035.026
79,8/27/2023 0:00,Customer_189,East,Monitor,Electronics,19.0,176.01,0.05,3176.9804999999997
80,10/24/2023 0:00,Customer_160,North,Laptop,Electronics,3.0,1447.26,0.0,4341.78
81,2/8/2023 0:00,Customer_53,South,Stapler,Office Supplies,10.0,1412.5,0.05,13418.75
82,10/17/2023 0:00,Customer_178,North,Printer Paper,Office Supplies,19.0,902.62,0.0,17149.78
83,11/28/2023 0:00,Customer_7,East,Stapler,Office Supplies,19.0,559.0,0.0,10621.0
84,11/22/2023 0:00,Customer_79,West,Table,Furniture,1.0,653.12,0.1,587.808
85,11/12/2023 0:00,Customer_239,West,Chair,Furniture,14.0,1448.38,0.1,18249.588
86,5/23/2023 0:00,Customer_125,West,Cabinet,Furniture,8.0,1278.31,0.0,10226.48
87,4/4/2023 0:00,Customer_109,West,Table,Furniture,8.0,47.91,0.1,344.952
88,12/26/2023 0:00,Customer_285,East,Cabinet,Furniture,8.0,423.09,0.0,3384.72
90,5/31/2023 0:00,Customer_208,South,Stapler,Office Supplies,12.0,777.87,0.0,9334.44
91,8/31/2023 0:00,Customer_218,East,Notebook,Office Supplies,7.0,997.62,0.1,6285.006
92,6/6/2023 0:00,Customer_119,East,Printer Paper,Office Supplies,9.0,1055.77,0.1,8551.737000000001
93,12/20/2023 0:00,Customer_99,South,Tablet,Electronics,8.0,183.73,0.0,1469.84
94,11/2/2023 0:00,Customer_52,East,Monitor,Electronics,6.0,1088.25,0.0,6529.5
95,1/8/2023 0:00,Customer_141,South,Phone,Electronics,5.0,544.52,0.1,2450.34
96,11/23/2023 0:00,Customer_53,West,Laptop,Electronics,15.0,441.74,0.05,6294.795
97,4/5/2023 0:00,Customer_130,North,Phone,Electronics,13.0,720.68,0.1,8431.956
100,10/29/2023 0:00,Customer_157,West,Stapler,Office Supplies,12.0,1363.21,0.1,14722.668000000001
101,4/17/2023 0:00,Customer_136,South,Pen,Office Supplies,17.0,1440.36,0.0,24486.12
102,2/8/2023 0:00,Customer_2,South,Pen,Office Supplies,3.0,363.6,0.0,1090.8000000000002
103,1/17/2023 0:00,Customer_148,South,Table,Furniture,20.0,892.75,0.1,16069.5
104,12/18/2023 0:00,Customer_136,South,Printer Paper,Office Supplies,20.0,1290.11,0.0,25802.199999999997
105,11/28/2023 0:00,Customer_137,South,Notebook,Office Supplies,11.0,176.59,0.05,1845.3654999999999
107,5/20/2023 0:00,Customer_225,West,Monitor,Electronics,20.0,459.62,0.15,7813.539999999999
108,5/9/2023 0:00,Customer_47,North,Laptop,Electronics,11.0,1103.13,0.0,12134.43
109,1/21/2023 0:00,Customer_241,South,Laptop,Electronics,19.0,1233.02,0.0,23427.38
110,8/12/2023 0:00,Customer_47,West,Stapler,Office Supplies,6.0,276.33,0.0,1657.98
111,3/24/2023 0:00,Customer_211,East,Cabinet,Furniture,11.0,503.3,0.0,5536.3
112,10/9/2023 0:00,Customer_233,North,Stapler,Office Supplies,7.0,995.56,0.15,5923.582
113,9/21/2023 0:00,Customer_278,North,Phone,Electronics,6.0,488.29,0.15,2490.279
115,8/13/2023 0:00,Customer_63,West,Tablet,Electronics,6.0,777.87,0.1,4200.4980000000005
116,1/8/2023 0:00,Customer_48,West,Tablet,Electronics,20.0,241.78,0.0,4835.6
117,9/13/2023 0:00,Customer_261,East,Laptop,Electronics,12.0,1420.86,0.05,16197.803999999998
118,5/5/2023 0:00,Customer_283,West,Printer Paper,Office Supplies,11.0,1252.91,0.15,11714.7085
119,3/11/2023 0:00,Customer_142,North,Monitor,Electronics,4.0,1383.19,0.0,5532.76
120,5/25/2023 0:00,Customer_297,East,Cabinet,Furniture,14.0,404.42,0.0,5661.88
121,6/26/2023 0:00,Customer_283,East,Stapler,Office Supplies,2.0,672.59,0.15,1143.403
122,12/24/2023 0:00,Customer_293,South,Stapler,Office Supplies,12.0,1399.61,0.05,15955.553999999998
123,12/28/2023 0:00,Customer_198,West,Chair,Furniture,11.0,70.25,0.15,656.8375
124,9/15/2023 0:00,Customer_52,East,Notebook,Office Supplies,13.0,1447.41,0.05,17875.5135
125,3/15/2023 0:00,Customer_80,West,Desk,Furniture,14.0,1366.11,0.0,19125.539999999997
126,11/29/2023 0:00,Customer_169,North,Monitor,Electronics,6.0,511.15,0.15,2606.865
127,10/5/2023 0:00,Customer_36,North,Stapler,Office Supplies,8.0,942.06,0.15,6406.008
128,2/20/2023 0:00,Customer_228,North,Phone,Electronics,5.0,1121.42,0.15,4766.035
130,12/16/2023 0:00,Customer_88,South,Chair,Furniture,5.0,799.09,0.0,3995.4500000000003
131,12/16/2023 0:00,Customer_255,South,Laptop,Electronics,17.0,1306.91,0.0,22217.47
132,8/24/2023 0:00,Customer_5,East,Notebook,Office Supplies,5.0,694.42,0.1,3124.89
133,8/15/2023 0:00,Customer_154,East,Cabinet,Furniture,19.0,822.16,0.0,15621.039999999999
134,4/12/2023 0:00,Customer_248,West,Stapler,Office Supplies,20.0,378.9,0.1,6820.2
135,6/1/2023 0:00,Customer_12,East,Tablet,Electronics,10.0,860.02,0.0,8600.2
136,11/7/2023 0:00,Customer_147,West,Stapler,Office Supplies,6.0,17.11,0.0,102.66
137,5/9/2023 0:00,Customer_50,South,Phone,Electronics,5.0,956.74,0.0,4783.7
138,10/24/2023 0:00,Customer_68,East,Pen,Office Supplies,7.0,1183.97,0.0,8287.79
139,4/13/2023 0:00,Customer_277,South,Phone,Electronics,8.0,777.87,0.05,5911.812
140,6/1/2023 0:00,Customer_59,East,Cabinet,Furniture,3.0,389.17,0.15,992.3834999999999
141,12/13/2023 0:00,Customer_286,West,Desk,Furniture,2.0,1132.46,0.05,2151.674
142,3/5/2023 0:00,Customer_189,West,Desk,Furniture,10.0,25.81,0.0,258.09999999999997
143,2/25/2023 0:00,Customer_242,South,Printer Paper,Office Supplies,16.0,574.63,0.1,8274.672
144,11/22/2023 0:00,Customer_155,West,Phone,Electronics,17.0,335.94,0.0,5710.98
145,6/5/2023 0:00,Customer_60,West,Stapler,Office Supplies,1.0,213.97,0.0,213.97
146,7/9/2023 0:00,Customer_80,West,Tablet,Electronics,15.0,207.82,0.15,2649.7049999999995
147,1/17/2023 0:00,Customer_112,East,Desk,Furniture,13.0,925.4,0.1,10827.179999999998
148,12/18/2023 0:00,Customer_279,East,Table,Furniture,5.0,1283.9,0.0,6419.5
150,1/26/2023 0:00,Customer_125,East,Notebook,Office Supplies,18.0,961.04,0.0,17298.72
152,3/8/2023 0:00,Customer_90,East,Chair,Furniture,17.0,9.24,0.05,149.226
153,10/29/2023 0:00,Customer_9,East,Laptop,Electronics,2.0,27.22,0.05,51.717999999999996
155,8/20/2023 0:00,Customer_23,South,Table,Furniture,9.0,772.29,0.0,6950.61
156,2/1/2023 0:00,Customer_206,West,Printer Paper,Office Supplies,12.0,966.79,0.0,11601.48
157,2/7/2023 0:00,Customer_165,North,Desk,Furniture,13.0,1070.04,0.15,11823.942000000001
159,2/20/2023 0:00,Customer_283,North,Printer Paper,Office Supplies,12.0,760.8,0.15,7760.159999999999
160,7/31/2023 0:00,Customer_233,East,Notebook,Office Supplies,11.0,680.07,0.05,7106.7315
161,12/7/2023 0:00,Customer_192,East,Table,Furniture,1.0,472.26,0.1,425.034
163,10/15/2023 0:00,Customer_63,East,Printer Paper,Office Supplies,2.0,836.77,0.0,1673.54
164,1/27/2023 0:00,Customer_160,East,Cabinet,Furniture,19.0,1411.99,0.15,22803.6385
165,12/3/2023 0:00,Customer_115,West,Desk,Furniture,16.0,763.58,0.05,11606.416
166,10/21/2023 0:00,Customer_220,South,Phone,Electronics,15.0,554.5,0.1,7485.75
167,1/15/2023 0:00,Customer_140,South,Pen,Office Supplies,17.0,1393.98,0.1,21327.894
168,3/15/2023 0:00,Customer_36,West,Printer Paper,Office Supplies,8.0,529.78,0.05,4026.3279999999995
170,10/18/2023 0:00,Customer_27,North,Chair,Furniture,9.0,470.9,0.1,3814.2899999999995
171,5/20/2023 0:00,Customer_218,West,Tablet,Electronics,17.0,79.39,0.0,1349.63
172,2/28/2023 0:00,Customer_221,East,Table,Furniture,11.0,413.38,0.0,4547.18
173,9/27/2023 0:00,Customer_24,East,Phone,Electronics,19.0,1019.34,0.15,16462.341
174,6/4/2023 0:00,Customer_71,South,Monitor,Electronics,17.0,86.9,0.05,1403.4350000000002
175,8/9/2023 0:00,Customer_67,South,Cabinet,Furniture,8.0,184.38,0.15,1253.7839999999999
176,2/6/2023 0:00,Customer_22,West,Chair,Furniture,14.0,840.29,0.1,10587.654
177,10/22/2023 0:00,Customer_294,West,Desk,Furniture,12.0,1382.14,0.1,14927.112000000001
178,6/16/2023 0:00,Customer_236,South,Table,Furniture,7.0,177.18,0.0,1240.26
180,4/24/2023 0:00,Customer_87,East,Pen,Office Supplies,10.0,1306.43,0.1,11757.87
181,6/29/2023 0:00,Customer_121,South,Laptop,Electronics,14.0,767.38,0.1,9668.988
182,3/20/2023 0:00,Customer_91,North,Tablet,Electronics,6.0,299.92,0.0,1799.52
183,8/18/2023 0:00,Customer_162,East,Stapler,Office Supplies,12.0,1132.9,0.0,13594.800000000001
185,1/30/2023 0:00,Customer_147,East,Pen,Office Supplies,7.0,695.31,0.0,4867.17
186,8/25/2023 0:00,Customer_231,North,Laptop,Electronics,17.0,893.15,0.15,12906.0175
187,3/19/2023 0:00,Customer_231,North,Notebook,Office Supplies,8.0,909.48,0.0,7275.84
188,1/21/2023 0:00,Customer_225,South,Phone,Electronics,20.0,131.07,0.05,2490.3299999999995
189,7/18/2023 0:00,Customer_174,West,Chair,Furniture,9.0,562.41,0.1,4555.521
190,6/18/2023 0:00,Customer_286,North,Pen,Office Supplies,18.0,972.72,0.0,17508.96
191,3/18/2023 0:00,Customer_42,East,Stapler,Office Supplies,7.0,381.73,0.0,2672.11
192,3/8/2023 0:00,Customer_159,North,Notebook,Office Supplies,9.0,468.8,0.15,3586.3199999999997
193,12/10/2023 0:00,Customer_217,North,Stapler,Office Supplies,18.0,777.87,0.05,13301.577
195,2/21/2023 0:00,Customer_173,North,Tablet,Electronics,2.0,236.64,0.1,425.952
196,4/3/2023 0:00,Customer_225,South,Notebook,Office Supplies,17.0,777.87,0.05,12562.6005
197,8/16/2023 0:00,Customer_230,East,Monitor,Electronics,9.0,1016.16,0.05,8688.168
198,4/10/2023 0:00,Customer_293,East,Tablet,Electronics,7.0,1448.57,0.15,8618.9915
199,9/28/2023 0:00,Customer_83,West,Table,Furniture,7.0,1168.3,0.0,8178.099999999999
200,7/10/2023 0:00,Customer_265,North,Tablet,Electronics,6.0,83.01,0.15,423.35100000000006
202,8/1/2023 0:00,Customer_203,North,Tablet,Electronics,12.0,1327.52,0.0,15930.24
203,7/11/2023 0:00,Customer_15,South,Printer Paper,Office Supplies,5.0,582.32,0.0,2911.6000000000004
204,3/12/2023 0:00,Customer_147,North,Desk,Furniture,20.0,976.69,0.05,18557.11
205,1/3/2023 0:00,Customer_10,North,Chair,Furniture,20.0,706.32,0.0,14126.400000000001
206,9/28/2023 0:00,Customer_57,West,Chair,Furniture,2.0,825.46,0.0,1650.92
207,8/3/2023 0:00,Customer_33,West,Chair,Furniture,7.0,187.16,0.05,1244.6139999999998
208,10/22/2023 0:00,Customer_74,South,Monitor,Electronics,17.0,806.4,0.0,13708.8
210,9/27/2023 0:00,Customer_200,North,Pen,Office Supplies,14.0,1462.11,0.0,20469.539999999997
211,5/10/2023 0:00,Customer_183,North,Desk,Furniture,18.0,583.39,0.1,9450.918000000001
212,10/25/2023 0:00,Customer_69,East,Phone,Electronics,5.0,1100.75,0.0,5503.75
213,12/17/2023 0:00,Customer_246,West,Phone,Electronics,15.0,511.13,0.05,7283.602499999999
214,1/19/2023 0:00,Customer_104,East,Notebook,Office Supplies,2.0,99.34,0.15,168.87800000000001
217,8/12/2023 0:00,Customer_226,West,Printer Paper,Office Supplies,6.0,191.09,0.1,1031.886
218,7/8/2023 0:00,Customer_43,East,Cabinet,Furniture,3.0,746.82,0.15,1904.391
220,8/17/2023 0:00,Customer_86,West,Laptop,Electronics,8.0,993.07,0.1,7150.104
221,11/11/2023 0:00,Customer_141,West,Stapler,Office Supplies,9.0,673.46,0.1,5455.026000000001
224,7/9/2023 0:00,Customer_228,East,Desk,Furniture,17.0,234.39,0.15,3386.9354999999996
225,11/29/2023 0:00,Customer_128,East,Tablet,Electronics,14.0,553.59,0.1,6975.234
226,10/15/2023 0:00,Customer_135,North,Laptop,Electronics,3.0,751.07,0.15,1915.2285
227,12/22/2023 0:00,Customer_103,West,Table,Furniture,4.0,1494.57,0.1,5380.452
229,3/22/2023 0:00,Customer_186,South,Pen,Office Supplies,15.0,815.55,0.1,11009.925000000001
230,5/2/2023 0:00,Customer_14,West,Notebook,Office Supplies,1.0,1477.77,0.05,1403.8815
231,3/8/2023 0:00,Customer_34,North,Cabinet,Furniture,12.0,1206.47,0.0,14477.64
232,7/30/2023 0:00,Customer_295,West,Table,Furniture,20.0,1079.71,0.0,21594.2
233,8/27/2023 0:00,Customer_66,East,Tablet,Electronics,8.0,965.3,0.15,6564.04
234,3/5/2023 0:00,Customer_156,South,Notebook,Office Supplies,2.0,651.76,0.0,1303.52
235,6/27/2023 0:00,Customer_41,East,Tablet,Electronics,8.0,1402.43,0.05,10658.468
236,3/6/2023 0:00,Customer_274,East,Chair,Furniture,18.0,1434.75,0.1,23242.95
237,3/29/2023 0:00,Customer_289,East,Tablet,Electronics,16.0,1412.7,0.05,21473.04
239,5/29/2023 0:00,Customer_248,East,Desk,Furniture,13.0,1334.05,0.0,17342.649999999998
240,3/22/2023 0:00,Customer_213,West,Monitor,Electronics,7.0,683.05,0.0,4781.349999999999
241,6/10/2023 0:00,Customer_177,East,Table,Furniture,4.0,513.59,0.05,1951.642
242,6/13/2023 0:00,Customer_239,South,Chair,Furniture,9.0,774.9,0.0,6974.099999999999
243,1/26/2023 0:00,Customer_197,East,Phone,Electronics,12.0,375.64,0.0,4507.68
244,6/17/2023 0:00,Customer_98,East,Stapler,Office Supplies,5.0,1444.22,0.05,6860.045
245,9/12/2023 0:00,Customer_47,North,Monitor,Electronics,14.0,702.89,0.1,8856.413999999999
246,1/25/2023 0:00,Customer_145,North,Table,Furniture,5.0,326.64,0.1,1469.8799999999999
247,8/9/2023 0:00,Customer_136,South,Table,Furniture,7.0,807.35,0.0,5651.45
248,1/27/2023 0:00,Customer_186,South,Printer Paper,Office Supplies,10.0,552.08,0.15,4692.68
250,10/13/2023 0:00,Customer_74,East,Laptop,Electronics,10.0,562.93,0.1,5066.37
251,3/12/2023 0:00,Customer_243,East,Monitor,Electronics,14.0,65.18,0.0,912.5200000000001
252,3/13/2023 0:00,Customer_164,East,Stapler,Office Supplies,2.0,911.36,0.0,1822.72
253,10/31/2023 0:00,Customer_260,East,Monitor,Electronics,17.0,1110.28,0.1,16987.284
254,1/9/2023 0:00,Customer_170,East,Stapler,Office Supplies,20.0,846.57,0.15,14391.69
255,11/2/2023 0:00,Customer_136,West,Pen,Office Supplies,11.0,877.63,0.0,9653.93
258,7/30/2023 0:00,Customer_32,West,Table,Furniture,2.0,622.38,0.05,1182.522
259,12/6/2023 0:00,Customer_270,West,Notebook,Office Supplies,14.0,314.98,0.1,3968.7480000000005
260,6/25/2023 0:00,Customer_136,East,Cabinet,Furniture,3.0,692.2,0.0,2076.6000000000004
261,10/13/2023 0:00,Customer_116,East,Stapler,Office Supplies,4.0,1436.22,0.1,5170.392
262,6/12/2023 0:00,Customer_179,West,Cabinet,Furniture,20.0,314.88,0.15,5352.96
263,7/14/2023 0:00,Customer_177,West,Printer Paper,Office Supplies,7.0,187.2,0.0,1310.3999999999999
265,5/19/2023 0:00,Customer_71,East,Stapler,Office Supplies,4.0,307.09,0.0,1228.36
266,4/26/2023 0:00,Customer_27,South,Tablet,Electronics,5.0,80.89,0.0,404.45
267,12/15/2023 0:00,Customer_3,South,Monitor,Electronics,8.0,1077.45,0.0,8619.6
268,9/2/2023 0:00,Customer_148,South,Notebook,Office Supplies,11.0,981.07,0.15,9173.004500000001
269,11/30/2023 0:00,Customer_274,South,Cabinet,Furniture,18.0,93.45,0.0,1682.1000000000001
270,1/19/2023 0:00,Customer_254,West,Pen,Office Supplies,3.0,629.74,0.05,1794.759
272,3/10/2023 0:00,Customer_140,West,Table,Furniture,18.0,817.23,0.15,12503.618999999999
273,11/28/2023 0:00,Customer_96,East,Laptop,Electronics,8.0,247.93,0.15,1685.924
274,3/31/2023 0:00,Customer_219,West,Phone,Electronics,7.0,853.83,0.05,5677.9695
277,2/1/2023 0:00,Customer_239,North,Desk,Furniture,6.0,982.26,0.05,5598.882
278,12/20/2023 0:00,Customer_152,North,Chair,Furniture,10.0,1030.68,0.1,9276.12
279,3/20/2023 0:00,Customer_192,West,Chair,Furniture,5.0,1436.25,0.15,6104.0625
280,5/7/2023 0:00,Customer_270,North,Table,Furniture,15.0,1203.98,0.05,17156.715
282,8/15/2023 0:00,Customer_106,North,Notebook,Office Supplies,3.0,495.54,0.0,1486.6200000000001
284,8/25/2023 0:00,Customer_12,East,Stapler,Office Supplies,12.0,848.05,0.0,10176.599999999999
286,8/30/2023 0:00,Customer_147,North,Desk,Furniture,15.0,1491.21,0.0,22368.15
287,7/11/2023 0:00,Customer_230,West,Chair,Furniture,2.0,1149.91,0.15,1954.847
289,1/2/2023 0:00,Customer_153,North,Monitor,Electronics,14.0,195.38,0.05,2598.5539999999996
290,5/7/2023 0:00,Customer_178,West,Table,Furniture,15.0,572.02,0.05,8151.284999999999
291,1/17/2023 0:00,Customer_9,West,Phone,Electronics,4.0,1406.43,0.0,5625.72
293,4/22/2023 0:00,Customer_72,North,Pen,Office Supplies,10.0,661.25,0.0,6612.5
294,6/13/2023 0:00,Customer_122,East,Printer Paper,Office Supplies,5.0,1224.6,0.0,6123.0
295,6/3/2023 0:00,Customer_32,East,Chair,Furniture,19.0,784.27,0.15,12665.9605
296,9/11/2023 0:00,Customer_177,North,Notebook,Office Supplies,18.0,1019.73,0.0,18355.14
297,7/29/2023 0:00,Customer_154,South,Stapler,Office Supplies,14.0,481.51,0.15,5729.968999999999
298,6/3/2023 0:00,Customer_238,South,Chair,Furniture,15.0,712.91,0.05,10158.967499999999
299,7/18/2023 0:00,Customer_131,South,Monitor,Electronics,11.0,838.14,0.05,8758.562999999998
300,7/9/2023 0:00,Customer_275,North,Phone,Electronics,18.0,123.21,0.15,1885.1129999999998
302,6/5/2023 0:00,Customer_109,North,Tablet,Electronics,13.0,317.29,0.1,3712.2930000000006
303,12/27/2023 0:00,Customer_204,South,Laptop,Electronics,13.0,1372.09,0.0,17837.17
304,11/29/2023 0:00,Customer_158,East,Phone,Electronics,7.0,574.09,0.0,4018.63
305,2/20/2023 0:00,Customer_164,West,Cabinet,Furniture,14.0,1324.8,0.15,15765.12
306,4/24/2023 0:00,Customer_9,South,Phone,Electronics,8.0,623.83,0.0,4990.64
307,4/28/2023 0:00,Customer_292,West,Table,Furniture,7.0,232.86,0.1,1467.018
308,5/12/2023 0:00,Customer_252,West,Monitor,Electronics,15.0,983.64,0.1,13279.140000000001
309,9/8/2023 0:00,Customer_278,South,Chair,Furniture,9.0,258.05,0.0,2322.4500000000003
310,12/9/2023 0:00,Customer_4,North,Pen,Office Supplies,14.0,777.87,0.0,10890.18
311,1/5/2023 0:00,Customer_259,South,Chair,Furniture,8.923469387755102,350.99,0.05,2975.446094387755
314,9/26/2023 0:00,Customer_124,South,Stapler,Office Supplies,3.0,164.99,0.0,494.97
315,2/10/2023 0:00,Customer_208,East,Phone,Electronics,9.0,404.65,0.15,3095.5724999999998
316,12/1/2023 0:00,Customer_48,North,Chair,Furniture,20.0,342.66,0.0,6853.200000000001
317,11/23/2023 0:00,Customer_88,North,Table,Furniture,10.0,831.29,0.0,8312.9
318,10/17/2023 0:00,Customer_271,North,Monitor,Electronics,11.0,969.14,0.1,9594.485999999999
319,9/1/2023 0:00,Customer_24,East,Tablet,Electronics,4.0,1352.4,0.0,5409.6
320,4/2/2023 0:00,Customer_9,East,Phone,Electronics,15.0,847.45,0.0,12711.75
321,6/3/2023 0:00,Customer_289,South,Tablet,Electronics,20.0,1232.25,0.0,24645.0
322,7/16/2023 0:00,Customer_41,South,Monitor,Electronics,19.0,1345.31,0.1,23004.801
324,9/9/2023 0:00,Customer_183,South,Desk,Furniture,18.0,413.62,0.15,6328.3859999999995
325,12/5/2023 0:00,Customer_44,West,Stapler,Office Supplies,11.0,282.68,0.0,3109.48
326,5/18/2023 0:00,Customer_195,South,Printer Paper,Office Supplies,5.0,1071.1,0.0,5355.5
327,2/16/2023 0:00,Customer_158,North,Notebook,Office Supplies,10.0,478.43,0.0,4784.3
328,4/6/2023 0:00,Customer_230,West,Cabinet,Furniture,6.0,157.84,0.0,947.04
329,10/11/2023 0:00,Customer_167,North,Stapler,Office Supplies,1.0,44.26,0.1,39.833999999999996
330,10/14/2023 0:00,Customer_293,South,Desk,Furniture,7.0,623.65,0.0,4365.55
331,5/18/2023 0:00,Customer_138,East,Notebook,Office Supplies,19.0,574.19,0.05,10364.129500000001
333,11/1/2023 0:00,Customer_235,South,Phone,Electronics,6.0,1416.61,0.15,7224.710999999999
